,Num_Acc,place,catu,severity,gender,trajet,secu,locp,actp,comp,birth_year,num_veh,secu1,secu2,secu3,senc,catv,occ,obs,obsm,choc,manv,motor,Unnamed: 0,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,vma,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
0,200500000001,1,1,4,1,1,11,0,0,0,1976,A01,,,,0,7,0,0,2,1,1,,0,3,41,0,B,2,2,1,430,0,1,1,0,63,1,0,1,0,,5,1,12,1900,3,2,1,1,3,11,CD41B,M,5051500,294400,590
1,200500000001,1,1,3,2,3,11,0,0,0,1968,B02,,,,0,7,0,0,2,8,10,,0,3,41,0,B,2,2,1,430,0,1,1,0,63,1,0,1,0,,5,1,12,1900,3,2,1,1,3,11,CD41B,M,5051500,294400,590
2,200500000001,2,2,1,1,0,11,0,0,0,1964,B02,,,,0,7,0,0,2,8,10,,0,3,41,0,B,2,2,1,430,0,1,1,0,63,1,0,1,0,,5,1,12,1900,3,2,1,1,3,11,CD41B,M,5051500,294400,590
3,200500000001,4,2,1,1,0,31,0,0,0,2004,B02,,,,0,7,0,0,2,8,10,,0,3,41,0,B,2,2,1,430,0,1,1,0,63,1,0,1,0,,5,1,12,1900,3,2,1,1,3,11,CD41B,M,5051500,294400,590
4,200500000001,5,2,1,1,0,11,0,0,0,1998,B02,,,,0,7,0,0,2,8,10,,0,3,41,0,B,2,2,1,430,0,1,1,0,63,1,0,1,0,,5,1,12,1900,3,2,1,1,3,11,CD41B,M,5051500,294400,590
5,200500000001,3,2,1,2,0,11,0,0,0,1991,B02,,,,0,7,0,0,2,8,10,,0,3,41,0,B,2,2,1,430,0,1,1,0,63,1,0,1,0,,5,1,12,1900,3,2,1,1,3,11,CD41B,M,5051500,294400,590
6,200500000002,1,1,1,1,5,11,0,0,0,1955,A01,,,,0,7,0,0,2,7,16,,1,2,41,0,,0,2,0,0,1,1,1,0,100,1,0,5,0,,5,1,21,1600,1,2,1,1,1,51,rue de Lille,M,5053700,280200,590
7,200500000002,1,1,3,1,5,21,0,0,0,1979,B02,,,,0,2,0,0,2,1,1,,1,2,41,0,,0,2,0,0,1,1,1,0,100,1,0,5,0,,5,1,21,1600,1,2,1,1,1,51,rue de Lille,M,5053700,280200,590
8,200500000003,1,1,1,1,1,21,0,0,0,1983,A01,,,,0,2,0,0,2,1,1,,2,2,41,0,,0,0,0,0,1,1,1,0,0,2,0,5,0,,5,1,21,1845,3,1,1,2,1,51,,M,5054600,280000,590
9,200500000003,1,1,3,1,1,21,0,0,0,1956,B02,,,,0,2,0,0,2,1,1,,2,2,41,0,,0,0,0,0,1,1,1,0,0,2,0,5,0,,5,1,21,1845,3,1,1,2,1,51,,M,5054600,280000,590
