,Percentages
Num_Acc,0
place,5.708099858639639
catu,1.0888274293123164
severity,1.0888274293123164
gender,1.0888274293123164
trajet,1.107360342866404
secu,21.754414134835574
locp,3.203267795348614
actp,3.20705691330198
comp,3.2054062084510084
birth_year,1.4024238349775353
num_veh,0
secu1,81.45545647991692
secu2,81.45545647991692
secu3,81.45545647991692
senc,4.766222677083115
catv,4.752679394101281
occ,18.526198186625688
obs,4.799236774102542
obsm,4.7893700610160534
choc,4.77001179503648
manv,4.773725880951166
motor,86.05934734131475
Unnamed: 0,0
catr,0.00007503203868051658
voie,8.96025102718861
v1,53.78138965338199
v2,95.03171604275026
circ,0.13502015360558958
nbv,0.23650098592098825
pr,38.883290665114004
pr1,39.03065358908254
vosp,0.24085284416445824
prof,0.1680342506250169
plan,0.20412466123034537
lartpc,23.50131005939536
larrout,9.72865413531578
surf,0.16672118994810783
infra,0.47592822135051666
situ,0.4380370418168558
env1,19.172861811993723
vma,81.30749329963895
an,0
mois,0
jour,0
hrmn,0
lum,0
agg,0
int,0
atm,0.005739950959059518
col,0.0017632529089921397
com,0.00022509611604154973
adr,13.019821963978618
gps,58.53058005768463
lat,40.61112845184894
long,40.61150361204234
dep,0
